ORF	hom | growth (culture turbidity) | sodium arsenite [0.2 mM] | Johnson AJ~Wu MJ, 2015	hom | growth (culture turbidity) | sodium arsenite [0.4 mM] | Johnson AJ~Wu MJ, 2015
YDR193W	1.052	1.643
YDR194C	1.351	2.676
YDR194W-A	1.366	1.010
YDR195W	0.550	0.757
YDR197W	0.510	0.855
YDR198C	1.054	1.818
YDR199W	1.015	1.535
YDR200C	0.859	1.386
YDR202C	0.881	7.813
YDR203W	0.819	2.614
YDR204W	0.417	0.691
YDR205W	0.375	0.767
YDR206W	1.053	2.017
YDR207C	0.293	0.300
YDR209C	0.928	1.228
YDR210W	1.038	1.664
YDR213W	0.900	1.766
YDR214W	0.924	1.033
YDR215C	0.986	1.117
YDR216W	0.948	1.107
YDR217C	0.830	1.262
YDR218C	1.011	1.765
YDR219C	0.552	1.182
YDR220C	1.071	1.389
YDR221W	1.031	1.972
YDR222W	0.901	1.520
YDR223W	1.025	1.157
YDR225W	0.561	0.749
YDR226W	0.356	0.378
YDR229W	1.048	1.178
YDR230W	1.015	1.251
YDR231C	0.603	0.684
YDR233C	1.112	2.046
YDR234W	1.052	1.943
YDR237W	0.833	1.461
YDR239C	1.045	0.740
YDR241W	1.011	2.735
YDR242W	1.015	1.498
YDR244W	0.849	1.585
YDR245W	0.709	1.382
YDR246W-A	0.334	1.731
YDR247W	0.559	1.095
YDR248C	0.763	1.394
YDR249C	0.929	1.481
YDR250C	0.847	1.200
YDR251W	0.960	1.672
YDR252W	0.942	1.183
YDR253C	0.607	0.900
YDR254W	0.577	1.694
YDR255C	0.730	1.757
YDR256C	0.684	1.191
YDR257C	0.601	1.306
YDR258C	0.683	1.292
YDR259C	0.836	1.556
YDR260C	0.812	1.369
YDR261C	0.791	1.177
YDR262W	0.899	1.451
YDR263C	0.934	1.120
YDR264C	0.065	0.378
YDR265W	0.990	1.651
YDR266C	0.599	1.809
YDR268W	0.765	1.990
YDR270W	0.818	1.314
YDR272W	0.878	1.528
YDR273W	0.812	2.012
YDR274C	0.890	1.664
