orf	hap a | inorganic phosphate abundance | standard [standard] | Freimoser FM~Amrhein N, 2006
YDL110C	-0.07267073828832164
YDL112W	-0.28332209527925717
YDL113C	-0.22251517183191394
YDL114W	0.1267570344015756
YDL115C	0.14914525433825823
YDL116W	0.32896999324092635
YDL117W	-0.1929981642156387
YDL118W	-0.16186461281660786
YDL119C	-0.1732295315616736
YDL121C	-0.11953435957848968
YDL122W	-0.0038706709706159428
YDL123W	-0.06141582943669553
YDL124W	-0.17398276580263242
YDL125C	-0.3723056849702009
YDL127W	-0.276989643047207
YDL128W	-0.06432481594796777
YDL129W	0.12862440823568402
YDL130W	-0.06589034534300334
YDL130W-A	-0.10219350553581655
YDL131W	-0.11775512839477975
YDL133C-A	0.08378099853557397
YDL133W	0.0034611437454906266
YDL134C	-0.17396364524113117
YDL135C	-0.2934951000600667
YDL136W	0.11960102246009137
YDL137W	0.15027819158912922
YDL138W	-0.2448157895921928
YDL142C	-0.20126175872405205
YDL144C	0.3195043782916551
YDL146W	0.04420517980061406
YDL149W	0.06115132220800836
YDL151C	-0.2327329247257194
YDL154W	-0.4002279685882388
YDL155W	0.027328540587284435
YDL156W	-0.08234540772009853
YDL157C	0.13377625722231845
YDL159W	0.18779645688992566
YDL160C	0.07537648069131873
YDL161W	0.03434836318781215
YDL162C	-0.2704294945128938
YDL167C	0.42447598099635453
YDL168W	0.3727808740506412
YDL169C	0.33114327190966436
YDL170W	-0.2691665981981578
YDL171C	-0.4770018393693706
YDL172C	-0.2593305788237711
YDL173W	0.039246835008744485
YDL174C	-0.12551214239693015
YDL175C	-0.09107100022738238
YDL176W	-0.04600030956230924
YDL177C	-0.12186424932564864
YDL178W	-0.3939730204010235
YDL179W	0.5819786797464541
YDL180W	0.6560906723922958
YDL181W	0.8574198590077629
YDL182W	1.2807562144002564
YDL183C	0.5331352176955708
YDL184C	1.0237298184944639
YDL185W	0.35829175831253307
YDL186W	0.5916922463430705
YDL187C	0.8009626262747231
YDL188C	0.4506788576828023
YDL189W	0.1594288386153948
YDL190C	0.25959677037146534
YDL191W	0.18320892774133873
YDL192W	0.11601447015344074
YDL194W	0.24978216655946678
YDL197C	-0.08924913777331592
YDL198C	0.2661522660753131
YDL199C	0.2593541621922709
YDL200C	0.31379694430610194
YDL201W	0.20216219574783564
YDL202W	0.18980505460656127
YDL203C	-0.0013141162083070014
YDL204W	0.0757974574991831
YDL206W	-0.021459968544238223
YDL210W	-0.24861849656143412
YDL211C	-0.1021003923258471
YDL213C	-0.13107397194840525
YDL214C	-0.20084271657024672
YDL215C	-0.08090479625605516
YDL216C	-0.12537358885177516
YDL218W	-0.01987990298456559
YDL219W	-0.2459463636720425
YDL222C	0.12060228950268671
YDL223C	0.015183117621896454
YDL224C	-0.15083950634453652
YDL225W	-0.036402226326424994
YDL226C	-0.3302956686416124
YDL227C	0.08234936817000926
YDL229W	0.11144040738395286
YDL230W	-0.25035049942770216
YDL231C	0.0354532745286748
YDL232W	0.02278540216070589
