ORF	number of metabolites (lysine-related) in stationary growth phase	number of metabolites (arginine) in stationary growth phase	number of metabolites (biotin) in stationary growth phase	number of metabolites (N-acetyl ornithine) in stationary growth phase	number of metabolites (leucine + isoleucine + citrulline) in stationary growth phase	number of metabolites (glutamine + valine) in stationary growth phase	number of metabolites (methionine + proline) in stationary growth phase	number of metabolites (threonine) in stationary growth phase	number of metabolites (alanine) in stationary growth phase	number of metabolites (serine) in stationary growth phase	number of metabolites (asparagine + tyrosine) in stationary growth phase	number of metabolites (glycine) in stationary growth phase	number of metabolites (lysine) in stationary growth phase	number of metabolites (ornithine) in stationary growth phase	number of metabolites (glutamate) in stationary growth phase	number of metabolites (aspartic acid) in stationary growth phase
YGL175C	0.000	1.401	NaN	1.052	1.046	1.085	1.059	1.428	0.737	1.123	0.976	1.033	0.890	1.764	2.799	5.507
YBR280C	0.311	1.524	0.745	0.978	1.657	1.466	1.584	2.130	1.292	1.622	1.431	1.395	0.694	1.317	11.561	14.453
YJR004C	0.086	0.657	0.560	NaN	0.752	0.943	0.668	1.251	0.765	0.385	1.028	0.837	0.492	0.657	1.697	3.078
YER129W	0.000	0.588	0.894	1.154	0.823	0.869	0.864	1.328	0.926	0.895	0.889	0.827	0.659	0.383	1.007	2.128
YNL083W	0.000	0.579	0.633	0.129	0.498	0.915	0.836	1.497	0.725	0.920	0.765	0.783	0.418	0.655	1.543	1.763
YLR180W	NaN	2.655	2.983	1.063	1.071	1.341	1.245	1.132	1.618	1.591	0.925	0.918	1.410	1.939	0.864	0.513
YDR502C	0.705	2.455	0.690	1.116	0.856	1.103	1.687	NaN	1.188	1.276	0.721	1.504	0.524	2.109	10.171	12.115
YMR060C	4.075	0.568	0.448	0.327	0.980	0.529	0.798	0.459	1.116	0.286	1.539	0.803	3.329	0.857	3.093	4.764
YDR143C	0.000	0.407	NaN	NaN	1.178	1.306	0.737	0.146	1.404	1.200	1.609	1.071	0.415	0.653	0.881	NaN
YFR040W	NaN	0.355	NaN	NaN	0.631	0.405	0.289	0.369	0.215	0.669	0.551	0.274	0.994	0.204	0.714	0.752
YJL098W	NaN	0.761	NaN	NaN	0.969	0.847	1.172	0.979	0.164	0.000	0.863	0.897	0.563	0.865	0.179	NaN
YKR028W	NaN	0.455	NaN	0.168	0.498	0.718	0.495	0.662	0.609	0.670	0.646	0.498	0.136	0.319	1.342	1.659
YMR263W	NaN	1.281	13.790	4.154	3.015	1.116	0.900	1.120	1.874	1.054	0.742	0.963	0.798	0.456	3.931	1.688
YGL229C	NaN	0.639	0.439	0.179	0.848	0.762	1.266	1.145	0.749	0.322	0.992	0.782	0.634	0.748	4.644	2.027
YMR127C	NaN	0.771	2.868	NaN	1.014	0.951	0.808	0.562	0.879	0.406	0.939	1.086	0.769	0.490	2.684	6.283
YBL052C	NaN	0.886	NaN	NaN	1.082	1.152	0.834	1.430	0.567	1.376	1.143	0.756	0.800	1.209	1.108	1.503
YDR181C	NaN	0.958	NaN	NaN	0.935	1.088	0.284	0.815	0.990	NaN	0.761	0.519	0.865	1.171	0.849	0.838
YOR213C	NaN	1.094	0.894	0.725	0.938	1.070	1.353	0.378	0.958	0.833	0.973	0.858	0.605	1.308	3.627	2.408
YCR008W	NaN	0.416	1.441	NaN	0.785	0.712	1.343	0.656	1.408	0.635	0.932	1.128	0.485	0.514	2.188	1.691
YKL117W	0.517	1.029	0.724	0.405	1.024	1.135	1.049	0.620	1.165	1.922	0.944	1.148	0.806	1.161	2.876	0.312
YDR351W	0.500	0.347	1.397	NaN	0.716	0.701	0.433	0.673	0.757	0.519	0.915	0.642	0.348	0.386	2.190	NaN
YHR103W	0.528	0.816	NaN	1.026	0.896	0.926	0.830	0.421	0.753	1.002	1.001	0.978	0.703	0.784	0.418	0.800
YMR214W	3.443	0.307	0.087	2.530	0.288	1.013	0.805	0.834	1.292	1.341	0.770	0.830	1.033	0.872	1.128	3.029
YGR049W	0.116	0.787	NaN	0.300	0.982	1.052	0.668	2.358	0.699	0.514	1.230	0.975	0.694	0.812	3.710	1.425
YBR037C	NaN	0.668	NaN	0.137	0.831	0.901	0.960	0.570	0.950	0.941	0.969	0.477	0.604	0.795	1.302	2.048
YBR024W	NaN	0.592	NaN	0.096	0.660	0.926	0.797	0.269	0.980	0.568	0.775	0.735	0.452	0.369	1.080	1.055
YOR367W	NaN	0.705	1.669	0.943	1.115	1.085	0.915	0.708	1.068	0.562	1.233	0.951	0.477	0.436	3.163	0.368
YJL080C	NaN	1.607	NaN	1.085	1.304	1.067	0.483	2.044	0.989	0.317	1.137	0.551	3.039	1.537	2.328	1.782
YER120W	0.856	1.260	1.178	0.357	0.749	0.918	0.821	1.129	0.968	1.092	0.827	0.449	2.370	NaN	3.517	0.257
YGL126W	4.619	1.615	5.831	0.578	1.055	1.042	0.945	0.169	1.277	0.312	1.006	0.865	1.843	NaN	3.787	1.552
YMR272C	NaN	1.721	NaN	0.460	0.950	1.014	0.486	1.687	0.562	1.536	0.696	0.369	1.866	NaN	6.593	2.096
YBL011W	NaN	0.202	NaN	NaN	1.180	0.760	0.390	0.830	0.498	0.527	0.772	0.710	0.598	0.611	0.776	0.946
YMR305C	0.303	1.119	0.726	0.693	0.898	1.117	1.301	1.274	1.364	0.915	0.939	0.846	0.627	0.485	0.495	4.888
YGL028C	3.276	1.106	1.637	NaN	1.026	1.238	2.128	1.077	0.902	1.957	1.067	1.147	0.906	1.002	0.668	0.329
YGR279C	NaN	1.110	NaN	0.316	1.013	0.878	0.687	0.656	1.253	4.159	0.811	1.215	0.686	1.552	0.757	0.433
YGL083W	0.000	2.192	1.277	0.565	0.815	1.390	1.099	1.270	1.502	0.582	0.897	1.306	0.855	1.677	1.325	0.497
YDR469W	NaN	1.028	1.997	0.595	0.984	0.955	1.128	0.843	1.131	1.596	0.963	0.503	0.868	1.002	2.138	1.956
YKL148C	0.162	1.114	NaN	0.275	0.855	0.901	1.162	0.777	0.957	1.697	0.826	1.069	0.552	1.065	2.309	2.935
YLL041C	NaN	1.181	9.629	8.646	2.135	1.258	1.052	NaN	0.285	0.320	1.236	1.719	1.939	1.308	2.223	0.000
YDR178W	NaN	1.502	3.038	NaN	1.086	1.043	1.768	1.002	1.339	NaN	0.844	0.651	1.261	1.807	1.295	1.156
YIL167W	NaN	0.327	0.678	0.978	0.816	0.530	0.554	0.411	0.713	0.500	0.513	0.709	0.293	0.290	0.744	1.997
YGL056C	NaN	0.887	NaN	NaN	1.760	1.950	0.469	1.472	1.465	2.688	1.532	1.326	1.293	0.778	0.650	0.000
YBR214W	NaN	0.483	0.531	NaN	0.689	0.712	0.619	0.426	0.803	0.241	0.858	0.763	0.443	0.596	0.987	0.950
YIL084C	NaN	0.984	NaN	NaN	0.766	0.703	1.558	0.919	0.972	NaN	0.680	1.457	0.913	0.760	1.643	1.184
YGL224C	0.622	0.865	0.754	0.602	1.047	1.082	0.945	1.377	0.744	0.671	1.128	0.841	0.584	1.103	2.624	0.154
YLR268W	NaN	2.125	0.821	3.459	1.740	1.264	0.890	1.125	1.313	2.447	0.930	0.681	0.431	0.785	1.484	1.491
YIL076W	NaN	0.203	NaN	NaN	1.416	0.633	0.273	0.079	0.741	6.461	1.475	NaN	0.519	NaN	0.137	NaN
YBR171W	NaN	1.165	1.323	0.134	0.997	0.923	0.946	0.435	0.857	0.776	1.146	0.443	1.996	0.767	1.892	3.137
YLR292C	2.018	1.482	NaN	0.570	0.990	0.969	1.306	NaN	1.362	1.206	0.865	1.285	0.859	1.452	13.694	NaN
YDR077W	0.500	0.728	0.884	0.839	0.853	1.175	0.942	5.798	0.757	0.826	0.668	0.962	0.594	NaN	0.980	1.341
YCR067C	1.212	0.730	NaN	0.000	0.915	1.022	0.843	NaN	1.021	5.923	0.758	0.885	0.340	0.319	0.881	0.530
YBL066C	NaN	1.118	NaN	NaN	1.178	0.955	0.382	0.874	0.971	NaN	0.927	0.447	0.771	1.213	0.975	0.745
YML013W	NaN	0.836	0.270	0.553	1.438	0.935	1.101	1.875	1.334	0.492	1.475	1.316	0.725	0.771	2.279	1.960
YAL067C	NaN	2.119	0.694	0.750	1.142	1.153	1.258	0.520	1.394	0.747	0.799	0.999	0.706	3.497	0.531	0.760
YOR184W	13.633	0.963	1.757	NaN	1.298	1.393	1.039	0.729	1.237	0.267	1.114	1.258	0.657	0.417	2.650	4.689
YGR208W	NaN	0.746	1.391	NaN	0.912	0.988	0.825	0.471	0.863	0.628	0.847	0.657	0.795	0.948	2.030	0.723
YIL074C	NaN	0.579	NaN	0.820	0.855	0.933	0.590	1.823	0.700	0.713	0.900	0.726	0.572	0.670	3.782	2.940
YJL168C	NaN	1.370	1.683	4.617	2.353	1.817	2.221	1.788	1.530	5.783	1.655	1.035	0.491	0.686	0.435	NaN
YKR029C	0.246	0.393	NaN	NaN	1.119	1.130	0.397	0.048	0.704	0.651	1.022	0.730	0.202	0.134	1.669	0.465
YJL105W	0.500	0.250	NaN	NaN	0.868	0.851	0.560	0.440	0.846	0.920	0.981	0.679	0.355	0.314	0.601	1.259
YHR207C	NaN	1.494	NaN	0.701	0.938	1.180	1.349	0.706	1.325	1.352	0.950	0.838	0.763	1.077	1.717	1.897
YPL165C	1.765	1.361	0.692	1.498	0.959	1.108	1.561	0.352	1.659	0.527	0.610	1.308	0.718	1.530	2.324	1.854
YDR257C	0.500	0.625	NaN	NaN	0.945	0.915	0.460	0.785	0.855	0.393	1.043	0.805	0.678	0.752	1.660	0.510
YOR165W	NaN	0.928	NaN	NaN	0.816	1.087	0.684	1.244	0.837	NaN	1.102	0.776	0.824	1.245	0.944	0.765
YDL168W	0.500	1.655	NaN	1.151	1.280	1.124	1.338	0.261	1.240	1.254	1.211	1.247	0.602	1.251	2.928	1.834
YNL049C	0.500	0.909	0.941	NaN	0.950	1.045	0.712	0.485	0.881	0.416	0.903	0.923	0.863	0.925	0.897	NaN
YJR095W	NaN	1.863	0.184	2.908	1.356	1.126	1.989	0.600	1.545	1.088	0.907	1.765	1.528	1.385	4.253	7.739
YOR315W	NaN	1.670	0.074	NaN	0.975	1.030	0.564	0.743	0.679	0.137	0.938	1.225	0.769	0.338	5.140	NaN
YJL145W	0.000	1.155	0.405	2.176	0.846	0.893	1.051	0.528	1.125	1.873	0.931	1.300	0.453	1.055	4.428	3.859
YOR140W	0.867	2.345	NaN	0.555	1.101	0.883	0.821	1.138	0.970	0.462	1.012	0.825	2.546	0.301	3.310	0.277
YLR403W	NaN	0.539	1.002	NaN	0.712	0.442	0.671	0.621	0.256	2.499	0.775	0.606	6.995	1.567	0.754	1.222
YIL099W	1.000	1.074	NaN	NaN	1.602	1.098	NaN	1.227	0.988	0.000	0.861	0.889	1.244	0.905	0.770	NaN
YPL047W	NaN	0.882	2.521	2.682	0.815	0.854	1.280	1.042	0.982	0.400	0.904	1.360	0.740	0.646	1.142	1.452
YCL010C	3.258	1.798	0.546	6.666	1.577	1.206	1.054	NaN	1.145	1.143	2.493	1.322	2.455	NaN	1.558	1.801
YGL066W	NaN	1.775	NaN	0.852	0.757	0.717	2.553	1.292	1.430	1.069	0.702	1.566	1.103	2.987	0.753	0.000
YJR134C	NaN	0.624	0.706	0.368	0.875	0.878	0.713	0.386	0.886	1.141	0.892	0.872	0.318	0.480	0.795	0.582
YIR001C	0.000	0.693	0.663	0.085	0.643	0.793	0.638	0.348	0.476	0.889	1.085	0.738	0.331	1.538	1.713	1.708
YOR073W	NaN	1.087	0.940	0.377	0.926	0.784	2.027	1.436	1.438	1.210	1.089	1.763	1.513	1.217	2.527	1.787
YMR190C	0.073	0.956	0.653	0.396	1.681	1.806	1.078	0.888	1.538	1.058	0.671	0.863	0.895	0.304	2.257	1.445
YOR007C	NaN	0.637	1.158	0.202	0.845	0.942	0.631	1.107	0.594	0.419	1.068	0.713	0.422	0.261	0.784	2.087
YER096W	0.978	0.920	0.442	0.187	0.906	1.035	1.285	0.918	1.176	0.387	0.953	1.352	0.496	0.628	0.962	1.132
YBL031W	NaN	0.943	NaN	NaN	0.754	0.480	0.853	0.714	0.569	NaN	0.805	1.181	1.581	0.819	1.755	2.688
YGL228W	0.532	0.839	1.070	0.359	0.859	0.893	0.749	1.412	0.777	0.458	0.944	1.121	0.857	1.240	7.514	8.236
YKL130C	0.649	1.994	1.795	0.674	1.122	1.155	1.927	0.828	1.260	1.493	0.737	1.602	0.529	1.701	7.626	NaN
YBR130C	1.430	0.906	1.259	0.174	1.053	1.194	1.211	3.264	0.565	1.198	1.372	1.010	1.805	1.252	0.884	1.384
YOR035C	6.241	2.902	4.239	3.975	1.805	0.892	1.713	2.242	0.626	1.174	1.525	1.175	6.974	0.862	1.755	1.567
YDR393W	0.500	0.568	1.476	0.000	0.842	0.871	0.538	0.942	0.302	1.466	0.686	0.652	0.443	0.324	2.887	0.469
YBR258C	1.715	1.102	1.429	1.116	0.876	1.051	1.072	0.949	1.020	0.954	0.959	1.195	0.847	0.820	0.958	0.908
YBR263W	0.500	0.874	0.570	0.787	0.857	0.902	1.103	0.943	1.066	1.171	0.940	1.545	0.639	0.670	1.854	0.275
YLR058C	0.384	0.935	0.185	0.576	0.867	1.044	0.945	0.597	0.914	1.351	0.777	0.498	0.634	0.525	1.422	1.611
YER118C	0.000	0.717	0.315	0.519	0.842	0.925	0.925	1.250	0.830	1.036	0.892	0.945	0.841	0.899	5.151	2.259
YBL058W	NaN	0.515	1.450	NaN	0.656	0.654	1.518	0.994	1.748	NaN	1.303	2.047	1.715	0.497	1.400	1.272
YOL110W	1.000	0.916	NaN	1.563	1.714	1.208	1.572	0.786	1.429	1.695	1.569	2.393	5.034	2.486	4.133	2.336
YDL225W	NaN	1.105	0.383	2.655	0.989	0.791	1.282	2.553	0.917	0.866	0.871	1.137	1.846	1.190	2.843	4.104
YHL006C	NaN	5.921	4.393	0.499	1.472	1.287	1.023	NaN	1.589	1.060	0.762	1.616	1.457	NaN	9.961	12.853
YDR078C	0.500	1.928	0.318	1.518	1.396	1.382	2.190	1.404	2.122	2.068	2.058	2.192	0.915	1.695	3.635	3.876
YGR112W	NaN	0.736	2.699	0.000	0.941	0.920	0.831	0.515	1.202	0.956	1.201	0.683	0.633	0.308	0.540	0.280
YOR137C	0.000	0.690	NaN	NaN	0.824	0.828	0.740	1.198	0.518	0.241	1.011	0.735	0.770	0.985	0.884	0.620
YLR079W	NaN	1.161	1.128	NaN	1.260	0.667	0.526	0.444	0.673	0.669	0.924	0.590	9.019	1.721	4.495	2.845
YBR103W	1.000	0.298	NaN	0.000	1.054	0.764	0.342	0.683	0.463	1.000	0.858	0.563	0.447	NaN	0.491	0.505
YOL031C	NaN	0.764	1.501	NaN	0.739	0.870	0.882	1.003	0.896	0.908	0.764	0.886	0.740	0.707	1.181	0.831
YIL123W	NaN	2.434	NaN	1.440	1.364	1.285	2.816	NaN	1.631	1.168	1.035	1.875	1.192	1.832	6.680	1.361
YOL004W	1.624	1.277	NaN	0.163	1.166	1.088	1.758	1.065	1.545	1.797	1.314	0.825	1.009	0.804	2.717	0.510
YNL236W	NaN	1.918	NaN	0.877	0.948	1.154	1.283	0.358	1.481	2.559	1.509	1.412	0.647	1.756	2.052	1.618
YDR422C	0.500	0.847	NaN	0.000	0.846	0.892	0.945	1.730	0.711	0.635	1.030	1.019	0.477	0.397	0.885	4.207
YMR175W	1.297	1.021	0.480	0.687	1.224	1.044	1.026	0.586	0.900	1.470	1.055	1.347	0.637	1.339	2.013	1.638
YGL208W	0.287	1.456	0.945	0.342	0.857	1.240	0.876	1.582	1.208	0.593	0.888	1.080	1.095	1.737	8.180	7.956
YNL257C	NaN	0.541	0.345	0.266	0.776	0.857	0.652	0.974	0.583	0.577	1.035	0.517	0.655	0.589	0.537	0.312
YJL089W	NaN	0.529	NaN	0.567	0.783	0.873	0.742	0.461	0.434	0.382	0.912	0.629	0.425	0.467	0.681	NaN
YKR101W	NaN	2.992	0.190	1.491	0.688	0.818	2.085	0.362	1.343	0.990	1.824	2.279	0.812	1.573	4.513	4.079
YDL042C	NaN	1.340	NaN	2.188	0.838	0.916	0.676	1.117	1.089	0.757	0.787	0.725	1.095	NaN	2.810	3.652
YLR442C	1.000	0.876	NaN	NaN	0.714	1.020	1.074	1.002	1.306	1.000	0.790	1.157	0.532	0.578	0.823	1.024
YDR227W	0.500	1.102	NaN	0.346	0.919	0.980	1.061	1.010	0.913	0.676	0.884	0.622	0.715	0.550	8.591	0.427
YKR072C	NaN	0.428	1.108	NaN	0.716	0.815	0.427	1.948	0.394	0.316	1.289	0.772	0.658	0.574	0.223	0.314
YDL047W	3.275	3.409	0.195	3.919	2.226	1.247	1.983	0.870	1.583	0.000	1.469	2.507	1.472	6.691	1.148	NaN
YNL032W	NaN	1.323	NaN	2.799	0.655	0.711	0.387	0.227	0.484	NaN	1.067	0.232	0.684	NaN	3.101	10.227
YDR409W	NaN	0.329	3.028	NaN	0.571	0.650	0.490	0.525	0.440	NaN	0.565	0.456	0.134	NaN	1.185	1.673
YKR100C	NaN	0.980	0.420	0.760	1.284	0.819	1.073	0.453	1.011	0.443	0.844	0.909	1.659	1.411	4.593	5.611
YLR187W	NaN	0.251	NaN	1.831	0.772	0.679	0.398	0.679	0.361	1.369	0.762	0.498	0.835	0.471	0.605	0.732
YLR398C	NaN	0.511	NaN	11.709	2.027	0.776	0.399	0.833	0.800	NaN	0.794	0.883	0.431	0.567	0.910	1.229
YOR076C	NaN	0.784	0.593	1.175	1.003	1.169	1.225	1.051	1.381	1.525	1.042	1.323	1.257	0.955	0.067	0.921
YGL213C	0.473	0.892	0.408	1.322	0.923	0.846	0.704	1.218	0.876	0.470	0.866	0.928	0.811	0.283	8.535	0.542
YOL113W	0.727	1.441	0.948	0.923	1.090	0.981	1.505	0.629	1.294	0.424	0.892	1.914	0.784	1.131	1.979	0.664
YGR143W	NaN	0.951	NaN	6.447	0.830	1.073	0.937	NaN	1.680	0.730	0.955	1.030	0.158	0.968	2.262	NaN
YHR206W	NaN	1.204	0.570	0.000	1.111	1.177	1.097	0.730	1.243	1.266	1.131	0.903	2.513	0.774	1.578	1.825
YNL167C	NaN	0.482	0.586	NaN	0.872	0.990	0.464	0.493	0.807	0.493	0.810	0.668	0.550	0.494	0.914	0.232
YPL026C	NaN	0.619	3.531	NaN	0.941	0.922	0.916	1.229	0.623	0.489	1.140	0.644	0.607	0.542	0.868	1.696
YBL061C	NaN	0.782	0.690	0.551	0.805	0.812	0.997	0.405	0.798	0.448	0.859	0.699	0.791	0.902	0.891	0.275
YMR216C	0.065	8.195	3.823	1.005	0.713	0.960	1.351	NaN	1.365	0.605	0.734	0.586	0.441	1.382	0.878	2.438
YBL007C	16.400	0.294	0.907	NaN	1.304	0.768	1.268	1.231	0.714	0.359	1.149	0.637	2.712	0.303	3.366	4.187
YNL243W	2.281	0.447	5.502	3.392	1.336	0.287	1.406	0.603	0.370	0.158	0.535	0.240	2.823	5.333	0.716	0.510
YDR515W	0.685	2.108	0.986	2.689	1.057	1.203	1.650	NaN	1.249	1.314	0.972	1.258	0.823	NaN	1.795	0.684
YOR008C	0.245	0.766	19.576	6.356	3.035	1.031	1.199	0.945	1.320	2.947	0.469	0.516	0.693	0.496	5.240	0.501
YGR271W	NaN	1.131	0.938	NaN	1.298	1.039	0.816	1.172	1.009	1.811	0.788	1.222	0.832	1.046	0.772	14.729
YGR212W	1.100	1.080	2.383	0.799	1.008	1.056	1.078	1.532	1.304	0.921	0.770	1.583	0.573	0.834	4.649	3.425
YBR156C	0.000	0.282	1.013	0.180	1.331	0.770	1.750	NaN	0.964	1.065	1.103	1.423	2.043	NaN	4.663	4.977
YOR195W	NaN	0.605	1.381	0.000	0.791	0.884	1.289	0.454	1.163	NaN	1.552	1.229	0.843	0.629	3.675	6.995
YIL105C	1.000	0.755	NaN	0.000	0.831	1.022	0.853	0.760	1.026	0.000	1.115	0.443	0.918	1.242	1.144	NaN
YDL033C	NaN	1.046	1.633	NaN	0.638	0.754	1.207	NaN	0.860	1.043	0.856	0.468	0.397	1.171	1.955	2.558
YBR077C	NaN	0.780	3.155	0.203	1.016	0.785	1.157	0.707	0.813	NaN	0.892	0.788	0.857	0.243	2.313	5.447
YBR266C	0.500	0.398	0.479	1.037	1.125	0.998	0.617	1.184	0.566	0.755	1.158	0.821	0.297	0.236	1.111	NaN
YLR139C	NaN	0.285	1.552	0.000	0.499	0.567	0.665	NaN	0.614	0.546	0.983	0.734	0.515	NaN	0.456	0.134
YHR030C	6.279	1.535	0.000	0.158	1.145	0.750	0.340	NaN	0.903	0.648	0.674	0.932	2.119	1.151	3.283	1.388
YBR228W	1.000	0.620	10.087	1.175	0.947	0.956	0.538	0.833	1.016	2.056	1.073	1.291	0.696	0.824	0.982	1.892
YLR135W	NaN	0.553	2.639	NaN	0.591	0.585	0.531	1.088	0.286	0.518	0.453	0.644	0.358	0.677	0.113	1.556
YER116C	0.000	0.380	0.238	0.952	0.940	0.921	0.938	0.722	1.053	1.036	0.930	1.030	0.664	0.490	1.757	3.497
YGR081C	NaN	1.383	NaN	3.827	1.045	1.085	1.649	0.568	1.407	1.326	1.217	1.579	2.176	0.565	2.386	0.962
YOR307C	NaN	0.520	0.151	NaN	0.874	1.021	0.578	0.833	0.964	1.140	0.771	0.628	0.946	0.906	1.130	1.126
YPL027W	0.500	2.170	6.340	0.000	1.119	1.472	1.503	0.677	1.303	0.977	1.067	0.851	1.075	1.162	1.541	1.023
YML066C	NaN	0.655	NaN	0.000	0.817	0.801	0.691	NaN	0.932	0.740	0.872	0.753	0.324	0.327	0.870	2.136
YOL122C	0.500	0.369	0.000	0.191	0.639	0.751	0.360	1.540	0.617	0.332	0.700	0.758	0.455	0.551	0.810	0.130
YHR050W	0.528	0.945	1.012	NaN	0.862	1.081	1.384	NaN	1.000	1.267	1.019	1.124	0.496	0.719	1.188	0.643
YLR034C	0.777	0.890	NaN	0.869	1.060	1.158	1.135	0.882	1.086	0.608	1.097	0.867	0.681	1.015	1.615	2.823
YGR229C	0.000	1.223	0.742	NaN	1.089	0.873	1.181	0.374	1.649	1.115	1.010	0.827	2.393	1.199	1.573	2.045
YPR054W	NaN	0.802	2.214	NaN	0.978	0.940	1.140	0.494	0.870	0.355	1.052	1.273	0.681	0.410	1.248	0.621
YML058W	3.807	0.557	0.287	0.554	1.156	1.414	1.873	0.584	1.629	1.047	0.645	1.013	1.212	1.081	1.644	3.433
YNR015W	0.500	0.796	NaN	0.453	0.851	0.980	1.135	0.898	0.912	0.480	0.420	3.968	0.623	1.244	2.388	0.687
YBR182C	NaN	0.941	NaN	1.075	1.310	0.801	1.316	0.891	0.823	0.484	1.103	1.066	0.877	1.054	1.980	0.255
YKL079W	6.236	1.761	NaN	2.112	1.191	1.296	1.357	0.819	1.120	1.797	1.001	1.037	0.583	0.975	2.446	0.714
YBR172C	0.000	0.688	1.087	NaN	0.792	0.877	0.703	0.322	0.818	0.823	0.978	0.819	0.622	0.862	1.040	1.484
YJL151C	NaN	0.965	0.690	0.507	0.870	0.802	0.998	NaN	1.308	1.236	0.734	0.811	0.368	0.677	5.234	0.647
YDL123W	1.164	1.037	0.276	0.537	0.829	0.927	1.159	1.128	0.909	0.872	0.911	1.130	0.793	0.927	1.403	1.784
YAL030W	NaN	0.888	0.560	0.773	0.932	1.013	1.006	NaN	1.606	0.258	0.776	0.839	1.161	0.420	NaN	0.944
YOR327C	1.224	0.862	0.136	NaN	0.976	1.221	1.282	1.354	1.294	1.449	0.970	0.151	1.212	1.491	1.347	1.004
YDR073W	1.000	1.699	NaN	0.925	0.686	0.984	1.564	1.379	0.897	2.530	1.123	1.594	1.387	1.944	2.510	2.537
YNR023W	1.000	1.402	NaN	0.000	0.787	1.034	1.359	0.970	0.966	0.000	1.669	1.773	3.070	1.495	1.008	3.152
YOR290C	1.302	0.357	NaN	0.495	0.751	0.974	0.992	1.893	1.022	0.589	0.813	1.037	0.332	0.504	1.260	NaN
YGL115W	NaN	0.749	1.135	0.539	0.905	0.886	0.675	1.464	0.848	0.831	0.780	0.886	0.930	0.871	1.360	1.965
YBR289W	59.332	1.900	3.013	15.992	2.140	0.496	0.962	NaN	0.802	NaN	0.166	0.536	12.743	NaN	1.613	1.807
YHL025W	1.480	0.657	NaN	1.878	1.414	0.998	1.116	1.200	0.784	0.705	1.373	1.118	1.828	1.195	1.987	3.291
YLR025W	0.490	0.560	0.567	1.830	1.893	0.894	1.905	0.740	0.827	2.539	1.309	0.268	0.377	5.137	4.301	1.323
YGR197C	NaN	1.132	1.168	0.969	0.714	1.052	0.372	1.050	1.260	0.829	0.816	1.387	0.605	0.704	1.449	2.052
YIL016W	NaN	2.917	NaN	1.841	1.256	1.191	0.639	1.596	2.194	2.065	1.559	2.844	0.872	1.943	2.707	34.815
YMR095C	0.188	0.603	NaN	0.482	0.795	1.286	0.787	0.782	0.424	0.718	0.762	0.980	0.629	1.342	2.075	2.584
YNL334C	NaN	0.457	1.905	0.372	0.881	0.956	0.689	0.970	0.624	0.633	1.016	0.807	0.467	NaN	1.207	1.174
YMR322C	NaN	0.700	NaN	1.324	0.818	0.840	0.565	0.495	0.814	0.312	0.861	0.774	0.506	0.606	0.420	1.585
YDR011W	NaN	1.636	NaN	1.082	1.222	0.943	1.137	0.274	1.312	1.254	0.849	1.433	1.078	1.357	4.432	5.239
YCR033W	NaN	0.726	1.149	0.000	1.340	1.275	0.747	0.517	0.886	0.548	0.941	0.687	0.723	0.337	1.090	0.636
YGL131C	3.315	0.845	0.380	1.095	1.256	1.074	1.162	0.786	0.939	1.357	0.757	1.174	0.785	0.645	3.718	1.652
YPR101W	1.790	1.324	NaN	NaN	1.423	0.643	0.518	0.357	0.581	2.920	1.117	0.152	2.740	0.525	NaN	NaN
YOR308C	NaN	0.528	0.616	0.432	0.558	0.681	0.232	0.387	0.488	1.996	0.068	0.273	0.446	0.403	0.560	0.816
YOR357C	NaN	1.229	1.714	0.839	1.327	1.125	1.535	0.572	1.611	0.616	0.917	1.567	0.878	0.827	4.013	3.637
YJL036W	NaN	0.742	NaN	0.323	0.911	0.977	1.074	0.906	0.941	0.434	0.988	0.840	0.269	0.305	1.565	1.573
YDR425W	0.500	0.483	NaN	0.000	0.726	0.824	0.620	1.280	0.661	0.499	1.021	0.762	0.380	0.297	2.168	0.798
YMR096W	NaN	0.545	0.497	0.000	0.715	0.810	0.942	0.551	0.915	0.716	0.841	0.465	0.741	0.398	1.423	2.024
YNL333W	NaN	0.953	NaN	1.388	1.105	1.142	0.777	0.319	0.782	0.402	0.941	0.840	0.224	NaN	0.525	1.404
YJR104C	NaN	3.140	0.763	7.964	1.692	1.392	4.153	1.709	1.871	1.000	2.341	2.215	1.321	2.627	2.277	1.644
YHR008C	5.973	1.312	4.521	1.113	1.535	1.242	0.591	0.471	1.153	0.403	1.111	0.951	3.892	0.649	5.917	6.227
YGL127C	NaN	3.317	0.390	1.821	1.618	0.993	1.965	0.778	0.736	5.374	2.146	0.619	NaN	NaN	1.568	0.000
YDR006C	0.746	1.028	0.411	0.786	0.886	0.894	0.764	0.796	0.908	1.067	0.885	0.522	0.687	1.249	1.209	0.441
YMR016C	0.479	1.276	0.281	0.551	1.274	1.051	0.921	1.456	1.099	1.201	2.276	1.521	1.289	1.429	3.442	2.193
YNR034W	0.500	2.209	NaN	0.576	1.005	1.017	1.802	1.025	1.574	0.668	0.346	4.620	1.030	1.894	3.755	2.199
YHR163W	1.056	0.979	2.312	NaN	1.101	0.986	0.681	NaN	1.172	1.000	0.857	0.975	0.933	1.211	1.038	0.879
YGR248W	NaN	2.491	NaN	8.031	1.417	1.400	1.928	1.721	1.319	NaN	2.129	1.715	0.347	2.830	1.864	1.957
