ORF	hom | growth (relative abundance in pooled culture) | Chlorimuron ethyl [10 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 1 [3 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 1 [4 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 2 [6 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 3 [1.5 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 4 [10 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 5 [8 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 6 [0.5 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 7 [4 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 8 [4 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | sulfometuron methyl [30 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | Chlorimuron ethyl [10 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 1 [3 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 1 [4 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 2 [6 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 3 [1.5 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 4 [10 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 5 [8 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 6 [0.5 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 7 [4 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 8 [4 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | sulfometuron methyl [30 uM] | Richie DL~Hoepfner D, 2013
YNL280C	NaN	NaN	NaN	NaN	-10.483	-9.317	NaN	-7.071	NaN	NaN	NaN	-0.049	0.031	0.003	0.072	-0.709	-0.015	-0.752	0.052	-0.521	-0.024	-0.085
YNL281W	0.027	-0.220	0.012	0.003	-0.013	0.574	0.099	0.177	-0.053	-0.711	-0.410	0.313	0.105	0.766	0.006	-0.001	0.180	0.057	0.160	0.004	0.679	0.456
YNL282W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.524	-0.607	-0.883	-0.834	-0.916	-0.435	-0.864	-0.026	-2.164	-0.974	-0.495
YNL283C	-1.345	-1.528	0.107	-1.810	-0.783	-2.949	-3.773	0.100	0.014	0.166	-1.048	0.952	-0.001	0.005	0.028	0.195	1.253	0.548	-0.051	1.383	0.599	1.015
YNL284C	1.947	1.657	1.878	4.749	0.313	2.000	5.002	-0.009	0.115	2.126	2.998	-0.052	0.663	-0.068	-0.370	-0.100	-1.059	-0.040	-1.526	-1.470	-0.258	-0.029
YNL285W	0.031	-0.160	-0.001	-0.894	0.245	-0.098	-0.496	-0.053	0.055	-0.042	0.088	-0.329	-1.259	-0.073	-1.341	-0.303	0.013	0.202	0.016	0.070	-0.569	-1.051
YNL286W	0.003	0.002	0.228	-0.612	-0.040	-0.032	-0.056	0.041	0.518	0.152	0.068	-0.793	0.160	0.024	0.014	-0.073	-0.165	-0.002	-1.482	-0.048	0.009	-0.413
YNL287W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.808	-1.183	1.455	-0.965	0.006	1.932	2.082	-0.114	1.150	2.005	1.257
YNL288W	0.582	1.848	1.608	1.152	0.014	1.422	0.968	-0.577	1.182	0.602	0.399	1.820	0.621	0.094	0.009	1.050	2.055	1.182	1.148	0.091	0.986	1.858
YNL289W	0.390	0.017	0.012	-0.504	0.046	-0.512	0.017	0.787	0.055	-0.002	0.020	0.359	-0.157	0.005	0.012	0.174	-0.112	-0.271	-0.187	-0.021	-0.943	0.012
YNL290W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.112	0.029	-0.843	-0.292	0.445	0.003	-0.008	0.110	0.253	0.016	-0.001
YNL291C	0.668	0.241	0.699	0.203	-0.048	0.170	0.459	0.009	-0.218	0.040	0.022	-0.030	0.883	-0.129	-0.420	-0.030	-0.043	-0.119	0.004	0.005	-0.032	-0.011
YNL292W	0.196	0.388	0.310	0.146	0.902	-0.052	0.752	0.598	0.103	0.136	0.525	0.193	0.043	0.019	-0.142	0.785	0.632	-0.045	0.109	0.236	0.050	0.009
YNL293W	-0.014	0.174	-0.116	-0.530	-0.014	-0.031	0.112	-0.040	0.077	0.591	0.010	0.559	0.098	0.047	0.049	0.352	0.596	1.669	-0.861	-0.080	0.507	0.106
YNL294C	0.028	0.498	0.017	-0.867	1.889	2.162	1.218	-0.008	-0.013	-0.077	0.045	0.943	0.749	0.013	-0.002	0.404	0.627	0.954	0.021	0.078	0.333	0.358
YNL295W	-0.016	0.776	1.644	-0.806	0.420	0.848	0.065	-0.001	-0.025	-0.211	0.352	1.676	-0.093	0.499	-0.005	1.612	1.761	0.982	1.893	0.322	1.314	1.664
YNL296W	-7.822	-3.981	-9.817	-8.567	-20.212	-10.909	-7.732	0.046	-6.483	-1.224	-7.703	-0.315	0.075	-0.124	-0.422	-0.383	0.001	-0.379	0.055	-0.163	-0.002	-0.017
YNL297C	0.185	0.333	1.003	1.663	-0.028	0.069	0.172	0.182	-0.167	0.651	0.271	0.161	0.019	0.139	-0.156	-0.008	0.020	0.026	-0.007	-0.047	-0.391	-0.029
YNL298W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.330	1.071	-0.014	-0.803	0.000	-0.249	-0.076	-0.109	-0.056	-1.633	-0.851
YNL299W	1.556	0.009	0.873	2.108	0.554	0.583	1.221	0.051	1.038	1.761	1.082	0.290	0.174	0.289	-0.032	0.077	0.910	1.302	0.516	0.251	0.122	0.031
YNL300W	0.228	-1.178	1.223	0.808	0.001	-0.049	0.087	2.135	-0.246	0.252	0.082	0.416	0.377	0.048	-0.577	0.037	0.930	0.043	0.052	0.063	1.060	0.752
YNL301C	0.246	-0.239	0.081	0.032	-0.099	-0.024	-0.007	0.823	0.009	0.022	-0.410	0.077	0.805	0.688	0.104	0.496	-0.010	0.067	0.037	-0.045	-0.100	0.299
YNL302C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.014	-2.383	0.131	0.154	-0.372	-0.061	-3.547	-0.031	-2.236	-3.598	-0.029
YNL303W	0.143	0.276	-0.034	-0.192	-0.008	0.123	0.030	0.252	0.025	0.004	0.106	0.246	-0.024	0.253	-2.367	0.009	0.121	-0.092	-0.089	-0.033	-0.034	0.007
YNL304W	0.101	-0.075	0.416	-0.068	-0.065	0.757	-0.172	0.301	0.503	-0.417	0.067	0.692	0.289	-0.145	0.137	0.027	0.434	0.028	-0.188	0.235	1.149	0.344
YNL305C	1.273	0.036	0.034	-0.071	0.359	0.011	-0.010	0.055	0.024	0.017	-0.008	0.243	1.009	0.086	0.058	0.875	0.036	0.253	0.607	-0.574	-0.011	0.162
YNL306W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.003	-0.044	-0.019	-0.002	0.652	0.840	0.002	0.056	-0.064	0.000	0.207
YNL307C	-0.391	0.047	1.222	-0.117	-1.702	-1.825	-1.756	0.980	-0.166	-0.047	-2.341	-0.036	0.177	-0.054	-0.421	-0.211	-0.345	-0.005	-0.099	-0.003	-0.204	-0.115
YNL308C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.022	-0.136	-0.046	0.010	0.064	0.154	-0.143	-0.034	-0.050	0.985	0.592
YNL309W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.283	0.006	0.085	0.153	0.811	0.571	0.025	0.004	0.351	0.590	0.472
YNL310C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.021	0.006	-0.049	-0.288	-0.041	-0.046	0.170	-0.069	-0.001	0.001	-0.402
YNL311C	0.119	-0.019	0.555	0.849	1.036	0.989	0.056	0.050	0.151	1.727	-0.119	-0.350	0.033	1.608	-0.744	-0.184	-0.261	-0.486	0.033	-0.033	-0.003	-0.479
YNL312W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.568	0.030	0.285	-0.210	0.009	-0.107	-0.357	-0.682	-0.054	-0.500	0.829
YNL313C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.148	0.056	-0.025	-0.695	0.642	0.348	0.013	0.466	-0.011	0.100	0.028
YNL314W	-1.750	-0.913	0.151	-0.082	-0.115	-0.174	-3.004	0.060	0.029	0.053	-0.660	0.898	0.520	0.355	0.229	0.384	-0.977	-0.349	0.010	-0.398	0.004	0.820
YNL315C	0.412	0.627	1.450	2.934	-0.071	1.501	0.510	0.126	0.105	0.100	1.745	0.012	-0.761	-0.174	0.001	-0.072	-0.240	0.022	0.014	0.106	-0.293	-0.012
YNL316C	-0.757	0.027	0.159	-0.424	-0.913	-0.020	-0.056	0.126	0.027	-0.066	-0.429	0.006	0.032	0.680	0.084	-0.118	-0.036	-0.137	-0.004	-0.471	0.091	0.749
YNL317W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.483	0.920	-0.371	-2.171	-0.076	-2.406	-0.179	-2.460	-0.046	-2.957	-1.717
YNL318C	0.828	-0.207	1.538	-0.413	0.057	0.320	-0.006	-0.098	0.076	0.013	0.405	1.029	0.801	0.164	-0.202	-0.852	0.012	-0.016	0.091	0.055	-0.008	0.007
YNL319W	0.579	-0.030	0.401	0.284	0.374	-0.060	0.106	0.027	-0.022	0.057	0.303	-0.165	0.019	-2.202	-1.948	0.920	0.006	-0.547	-0.058	-0.231	0.022	0.015
YNL320W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.025	-0.074	-2.453	-0.113	0.030	-0.252	-0.268	0.252	0.040	0.137	0.177
YNL321W	-0.145	-0.106	0.051	-0.983	0.040	-0.008	-0.062	-0.092	0.073	0.114	0.155	0.742	0.017	0.017	-2.046	-0.439	0.129	-0.089	-1.063	0.067	1.596	1.786
YNL322C	-4.438	-1.720	-1.643	-1.695	-3.837	-3.431	-4.934	-1.576	-2.057	-1.354	-4.164	-0.461	-0.045	-0.628	-2.289	-0.272	-0.005	-0.157	-0.300	-0.111	0.009	-1.804
YNL323W	-17.042	-14.162	-11.106	-14.283	-13.786	-11.338	-11.799	-13.845	-4.664	-7.435	-13.570	0.063	0.205	0.609	-0.641	-0.400	-0.625	-0.851	-0.056	-0.252	-0.039	0.982
YNL324W	-0.035	-1.778	0.065	0.208	-2.416	-0.499	-0.063	-0.908	-1.485	-0.292	-1.294	-0.081	-0.026	0.647	0.557	0.066	0.023	-0.037	-0.012	-0.022	0.239	0.122
YNL325C	-0.054	-1.849	-0.117	-0.083	-0.072	0.413	0.040	0.066	-0.037	-0.178	-0.944	0.245	0.086	0.106	-0.058	0.048	-0.049	1.314	-0.021	-0.067	0.080	0.881
YNL326C	0.046	-0.895	-0.033	-0.213	0.043	0.291	0.046	-0.007	-0.018	0.133	0.011	3.146	3.094	3.241	3.084	3.584	3.259	4.462	3.112	0.763	2.306	2.067
YNL327W	0.153	-0.107	0.164	-0.025	-0.460	0.080	-0.347	-0.045	-0.018	-0.289	-0.012	-0.032	0.009	-0.073	-1.113	-0.412	-1.791	-1.179	-0.481	-1.972	-0.115	-1.328
YNL328C	0.027	-0.049	0.069	0.010	-0.102	0.017	-0.278	-0.814	0.085	-0.138	-0.870	0.023	0.023	-0.289	-0.002	0.588	0.241	0.950	0.041	0.086	-0.186	0.370
YNL329C	-0.154	0.975	0.160	-0.730	-0.121	-0.103	-0.536	-1.128	-0.019	0.450	0.675	0.028	1.593	0.398	-0.032	-0.228	-0.001	-0.103	0.240	-0.027	-0.532	-0.326
YNL330C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-3.522	-0.373	-2.468	-3.050	-3.637	-2.185	-2.003	-1.664	-0.311	-1.915	-3.124
YNL331C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-5.288	-3.913	-3.984	-4.365	-6.356	-1.597	-2.036	-0.207	-4.690	-0.050	-2.611
YNL332W	0.626	0.012	0.869	-0.129	0.206	0.100	-0.183	0.936	-1.029	0.184	-0.001	-0.054	1.099	0.144	0.013	-0.124	-0.228	0.007	-1.622	-0.029	-0.905	-0.006
YNL333W	1.043	0.010	0.034	0.681	-0.079	0.065	0.043	0.022	-0.058	-0.060	-0.030	0.920	-0.002	0.001	-0.770	-0.038	-0.025	0.094	-0.435	0.263	-0.165	0.643
YNL334C	0.007	-0.794	0.175	-0.006	-0.131	-0.010	0.285	0.780	-0.010	0.002	-0.145	0.213	0.126	0.036	-0.158	0.001	0.271	0.219	-1.020	0.001	-0.197	0.314
YNL335W	-0.029	1.248	0.612	-0.164	0.072	-0.913	-0.095	-0.014	-0.204	-0.041	0.036	-0.026	0.283	1.239	-0.018	0.041	0.055	-0.243	0.042	1.427	-0.045	0.166
YNL336W	0.272	0.037	0.105	-0.093	0.026	0.123	0.089	0.093	-0.052	-0.649	-0.103	0.008	0.299	-0.183	0.026	-0.114	0.442	1.190	-0.106	-0.033	-0.045	0.848
YNL337W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YNL338W	0.050	0.116	0.589	0.052	-0.041	-0.007	-0.097	0.327	-0.653	0.247	-0.001	0.135	0.093	-0.001	-0.863	-0.300	-0.186	0.015	-0.210	0.017	-0.622	-0.569
YNL339C	0.103	0.665	0.011	-0.005	0.008	0.136	-0.035	0.784	0.146	0.079	0.030	0.221	1.000	0.746	-1.443	0.004	-0.001	0.626	0.186	-0.098	-0.971	-0.036
YNL339W-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YNL339W-B	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YNR001C	0.025	-0.003	0.119	0.587	-0.552	0.048	-0.920	-0.022	-0.027	-0.388	0.071	2.604	4.042	0.296	3.381	1.248	3.536	2.253	0.218	2.332	2.393	3.425
YNR001W-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YNR002C	0.008	-0.016	-0.289	0.527	0.046	0.005	-0.001	0.612	-0.026	-0.782	-0.110	-0.010	-0.059	-0.035	0.035	0.074	0.082	0.338	-0.034	0.568	-0.031	-0.106
YNR003C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.878	-1.256	-0.010	0.527	0.364	0.006	1.071	-0.261	-0.028	2.697	0.238
YNR003W-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YNR004W	0.198	0.165	2.037	0.362	1.830	2.255	1.768	0.534	-0.406	-0.847	1.948	-0.006	-0.247	-0.208	0.078	-0.168	-0.745	-1.105	0.220	-0.026	-0.522	-0.765
YNR005C	-0.173	-2.136	-2.684	-2.385	-3.628	-0.728	-0.499	-0.643	-0.192	-0.646	-0.178	-1.175	-0.283	-2.049	-1.656	-0.485	-3.430	-1.996	-0.013	0.008	-1.370	-1.452
