orf	hom | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyridine [9 uM] | Yu L~Bellaoui M, 2008	hom | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyrimidine [9 uM] | Yu L~Bellaoui M, 2008	het | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyridine [9 uM] | Yu L~Bellaoui M, 2008	het | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyrimidine [9 uM] | Yu L~Bellaoui M, 2008	hap a | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyridine [9 uM] | Yu L~Bellaoui M, 2008	hap a | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyrimidine [9 uM] | Yu L~Bellaoui M, 2008
YBR185C	-1.8408977858057376	0.13072859916263			0.0	0.0
YBR186W	-0.3633788587161231	0.09097777845324717				
YBR187W	-0.7348274855365727	-0.5862582867094993			0.0	0.0
YBR188C					0.0	0.0
YBR189W	-0.15699856774305662	-0.35181033740762147	1.1926971556339703	0.4770947488814998	0.0	0.0
YBR191W	-0.9933133851118151	-0.35072772403538366			0.0	0.0
YBR194W					0.0	0.0
YBR195C	-0.0556973660513303	-1.3773013516103214			0.0	0.0
YBR197C	-0.47315441130153785	-0.5500830283276326			0.0	0.0
YBR199W	0.39120947167801184	1.3374213673322888			0.0	0.0
YBR200W					0.0	0.0
YBR201W	-0.134379706172971	-0.2462812993606643			0.0	0.0
YBR203W	0.2918154110988357	0.33977920720388954			0.0	0.0
YBR204C	0.04950801572580087	0.6002196714365791			0.0	0.0
YBR205W	0.29914659715993214	0.6246293257584334			0.0	0.0
YBR206W						
YBR207W	-0.15163374962012274	-0.048154991028145105			0.0	0.0
YBR208C	-0.9231930540742914	-2.797702150136601			0.0	0.0
YBR210W	0.4161058908729336	0.18192408218075645			0.0	0.0
YBR212W	-0.1884485098476516	-0.3389869816603287			0.0	0.0
YBR213W					0.0	0.0
YBR214W					0.0	0.0
YBR215W	-0.2795878316071012	-0.5166252274500537			0.0	0.0
YBR216C					0.0	0.0
YBR217W	-0.2000764403529913	-0.3123322418483778			0.0	0.0
YBR218C					0.0	0.0
YBR219C					0.0	0.0
YBR220C					0.0	0.0
YBR221C						
YBR222C					0.0	0.0
YBR223C					0.0	0.0
YBR224W						
YBR225W					0.0	0.0
YBR226C	-0.1336537420678544	-0.005211327262712252				
YBR227C	-0.20025723148243418	-0.9837182772021984			0.0	0.0
YBR228W	-0.0496278606871028	0.4248732209692949			0.0	0.0
YBR229C	-0.2646548327082131	0.4768620177528816				
YBR230C	-0.09535383186026364	-1.3395040566310794			0.0	0.0
YBR231C						
YBR232C	0.22561076956135787	-0.032795743415193056				
YBR233W	0.2600656020830519	0.8166670074448746			0.0	0.0
YBR235W	-0.32005244496299345	-0.2509177775899099			0.0	0.0
YBR238C	0.03827420490560243	0.3968902644731024			0.0	0.0
YBR239C	-1.124937539469094	-1.038429051796429			0.0	0.0
YBR240C					0.0	0.0
YBR241C	0.06698739484770903	-0.250503566850831			0.0	0.0
YBR242W	-0.1529322604438431	0.0884795558072203			0.0	0.0
YBR244W	-0.32143855176409014	-0.1790333797499088			0.0	-8.929251393800948
YBR245C	0.1679411366433795	0.9969594264499049			0.0	0.0
YBR246W	-0.01827745946588997	0.5602676970943588			0.0	0.0
