ORF	hom | growth (relative abundance in pooled culture) | YPD+ 0.1mM dinitrophenol (dinitrophenol [0.1 mM], YPD [standard]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPD+ 0.25mM dinitrophenol (dinitrophenol [0.25 mM]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPDGE (ethanol [2%], glucose [0.1%], glycerol [3%]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPE (YPE [2%]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPG [3%] | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPG+ 0.1mM dinitrophenol (dinitrophenol [0.1 mM], YPG [3%]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPG+ 0.25mM dinitrophenol (dinitrophenol [0.25 mM], YPG [3%]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPL (YPL [standard]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPD+ 0.1mM dinitrophenol (dinitrophenol [0.1 mM], YPD [standard]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPD+ 0.25mM dinitrophenol (dinitrophenol [0.25 mM]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPDGE (ethanol [2%], glucose [0.1%], glycerol [3%]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPE (YPE [2%]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPG [3%] | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPG+ 0.1mM dinitrophenol (dinitrophenol [0.1 mM], YPG [3%]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPG+ 0.25mM dinitrophenol (dinitrophenol [0.25 mM], YPG [3%]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPL (YPL [standard]) | Steinmetz LM~Davis RW, 2002
YPL014W	0.009	0.000	0.018	0.010	0.005	-0.005	0.005	0.003	0.011	-0.019	0.012	-0.009	-0.002	-0.004	-0.004	-0.011
YPL015C	0.008	-0.002	0.003	0.013	0.014	0.005	0.007	0.014	-0.010	-0.018	0.013	0.034	-0.015	0.004	-0.018	0.017
YPL016W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.016	-0.037	-0.001	0.004	-0.013	-0.021	-0.042	0.016
YPL017C	-0.012	0.002	-0.005	-0.003	0.033	0.073	0.051	0.011	0.007	-0.004	-0.035	-0.044	-0.027	-0.018	-0.012	-0.038
YPL018W	-0.016	-0.008	0.007	0.042	0.062	0.031	0.025	0.055	-0.011	-0.023	0.007	0.019	-0.009	-0.014	-0.016	0.012
YPL019C	-0.005	-0.008	0.012	0.023	0.021	0.006	0.008	0.024	0.011	-0.012	0.014	0.033	0.006	0.007	-0.023	0.023
YPL020C	0.009	0.027	0.009	0.057	0.017	0.038	0.021	0.017	-0.012	-0.012	0.016	0.026	0.001	-0.001	-0.009	0.018
YPL021W	-0.009	-0.009	0.009	0.017	0.007	-0.010	-0.011	0.009	-0.013	-0.008	0.009	0.043	0.007	-0.007	-0.013	0.030
YPL022W	-0.007	-0.003	0.013	0.027	0.023	0.008	0.009	0.017	-0.005	-0.012	0.013	0.020	-0.008	-0.001	-0.013	0.018
YPL023C	0.004	-0.012	0.013	0.023	0.019	0.009	0.016	0.017	-0.027	-0.031	0.022	0.028	-0.010	-0.007	-0.015	0.018
YPL025C	-0.003	-0.028	-0.007	0.001	0.008	-0.004	0.018	-0.001	0.039	-0.032	-0.001	0.022	0.053	0.074	0.044	0.023
YPL026C	0.007	0.005	0.007	0.016	0.026	0.020	0.017	0.005	0.008	-0.005	0.000	-0.011	0.008	0.012	0.006	-0.015
YPL027W	-0.012	-0.006	0.013	0.012	0.016	0.010	0.019	0.010	0.022	-0.010	0.006	-0.008	0.004	0.026	-0.003	0.009
YPL028W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.021	0.011	-0.015	-0.033	-0.004	0.008	0.011	-0.022
YPL029W	-0.067	-0.106	-0.117	-0.271	-0.224	-0.369	-0.384	-0.227	0.028	-0.060	-0.020	-0.074	-0.028	-0.017	-0.105	-0.043
YPL030W	0.006	0.015	-0.001	-0.025	-0.012	-0.007	0.001	-0.005	0.028	0.006	-0.021	0.005	0.001	0.014	0.013	-0.045
YPL031C	0.042	0.014	-0.029	-0.158	-0.180	-0.233	-0.219	-0.109	-0.007	0.031	-0.029	-0.096	0.010	0.020	0.039	-0.044
YPL032C	-0.009	0.006	0.012	0.008	0.018	0.015	0.014	0.008	-0.013	-0.008	0.020	0.010	-0.011	0.028	-0.015	0.024
YPL033C	0.001	-0.006	-0.004	-0.020	-0.003	0.002	0.001	-0.011	0.022	0.005	-0.009	-0.044	-0.005	0.001	0.004	-0.032
YPL034W	-0.008	-0.012	-0.001	-0.008	-0.002	0.002	0.005	-0.007	0.044	0.010	-0.004	-0.025	0.005	0.007	-0.003	-0.014
YPL035C	-0.008	0.003	0.011	0.027	0.036	0.022	0.035	0.028	NaN	NaN	0.044	0.173	0.044	NaN	NaN	0.033
YPL036W	-0.012	-0.005	0.009	0.013	0.014	0.002	-0.007	0.012	0.008	0.032	0.009	0.026	-0.020	0.009	0.018	0.011
YPL037C	0.004	-0.002	0.014	-0.003	0.003	-0.004	0.001	-0.005	0.004	-0.000	0.012	-0.037	-0.000	0.021	-0.029	-0.027
YPL038W	-0.003	-0.017	-0.011	-0.039	-0.022	-0.007	-0.003	-0.027	0.043	0.001	-0.011	-0.051	-0.005	0.019	0.003	-0.038
YPL039W	0.001	0.002	-0.000	-0.013	-0.001	0.002	0.003	-0.014	0.027	-0.003	-0.019	-0.036	-0.008	0.002	-0.010	-0.041
YPL040C	0.009	-0.057	-0.037	-0.244	-0.210	-0.318	-0.371	-0.138	0.013	-0.004	0.001	-0.038	-0.005	-0.002	-0.011	-0.013
YPL041C	-0.019	0.010	0.012	0.046	0.015	0.019	0.015	0.036	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YPL042C	0.013	-0.023	-0.020	-0.152	-0.105	-0.169	-0.187	-0.056	0.003	0.016	0.020	0.026	0.013	0.027	0.017	0.018
YPL043W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.022	-0.011	0.016	0.050	0.059	0.081	0.067	0.039
YPL044C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.006	0.021	0.001	-0.007	0.004	0.012	0.023	-0.002
YPL045W	-0.002	0.004	-0.035	-0.136	-0.195	-0.142	-0.172	-0.114	0.037	0.131	-0.032	0.005	0.050	0.144	0.126	-0.054
YPL046C	-0.013	-0.015	0.005	-0.005	-0.006	-0.010	-0.008	-0.004	-0.006	-0.031	0.008	-0.003	-0.008	-0.014	-0.016	-0.010
YPL047W	-0.012	-0.040	-0.019	-0.028	0.020	0.002	0.004	-0.011	0.026	0.013	-0.030	-0.049	0.003	0.001	0.016	-0.072
YPL048W	0.020	-0.006	-0.006	-0.021	-0.007	0.029	0.015	-0.011	-0.015	-0.003	0.016	0.071	0.029	0.074	0.033	0.076
YPL049C	-0.007	-0.032	-0.018	0.017	0.034	0.036	0.031	0.037	0.000	0.020	-0.003	-0.030	-0.001	0.018	0.031	-0.042
YPL050C	-0.031	-0.001	-0.017	0.007	-0.027	-0.006	0.008	-0.035	0.004	0.006	-0.001	-0.021	-0.011	-0.000	0.007	-0.026
YPL051W	-0.004	-0.025	0.002	-0.063	-0.087	-0.054	-0.072	-0.005	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YPL052W	-0.002	-0.004	0.001	-0.010	-0.005	-0.003	0.001	-0.004	0.006	-0.004	0.007	0.005	-0.003	-0.009	-0.009	0.007
YPL053C	0.010	-0.010	0.007	-0.001	-0.005	0.003	0.008	0.004	-0.000	-0.050	0.002	-0.018	-0.001	-0.010	-0.042	-0.026
YPL054W	0.007	-0.000	-0.006	-0.017	-0.002	0.013	0.012	-0.010	0.011	-0.001	0.003	-0.000	0.004	0.011	-0.001	0.009
YPL055C	-0.004	-0.017	-0.025	-0.031	-0.038	-0.041	-0.021	-0.019	0.003	-0.020	0.031	0.057	0.029	0.041	0.011	0.077
YPL056C	-0.014	-0.008	0.003	-0.004	0.005	0.004	0.003	-0.001	0.022	0.001	0.000	-0.019	-0.004	0.003	0.001	0.009
YPL057C	0.002	0.002	-0.004	-0.039	-0.016	-0.004	-0.009	-0.022	0.016	0.001	0.002	-0.040	0.001	-0.004	-0.001	-0.038
YPL058C	0.001	0.005	0.016	0.033	0.013	0.016	0.018	0.025	-0.005	-0.003	0.028	0.069	0.010	0.013	-0.006	0.073
YPL059W	-0.185	-0.062	0.018	-0.079	-0.087	-0.165	-0.211	-0.072	0.008	-0.002	0.006	-0.018	0.001	-0.008	-0.007	0.001
YPL060W	0.028	0.019	-0.035	-0.365	-0.281	-0.388	-0.417	-0.291	0.017	0.027	-0.008	-0.054	-0.003	0.007	0.037	-0.041
YPL061W	-0.002	-0.017	0.049	0.077	0.145	0.103	0.083	0.117	-0.005	-0.019	0.001	-0.051	-0.006	-0.028	-0.015	-0.046
YPL062W	0.002	-0.007	0.025	0.033	0.090	0.059	0.053	0.061	0.020	-0.001	-0.002	-0.054	0.011	0.005	0.006	-0.032
YPL063W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.022	-0.021	-0.013	-0.082	-0.002	-0.004	-0.022	-0.079
YPL064C	-0.003	-0.012	0.006	0.021	-0.004	0.001	0.002	0.015	0.032	-0.030	-0.020	-0.009	0.041	0.048	0.034	-0.001
YPL065W	-0.001	-0.026	-0.068	-0.153	-0.139	-0.183	-0.171	-0.020	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YPL066W	0.014	-0.002	-0.008	-0.332	-0.058	-0.050	-0.038	-0.009	0.015	-0.015	-0.015	-0.026	-0.011	0.002	-0.011	-0.032
YPL067C	0.004	0.016	0.013	0.024	0.019	0.018	0.018	0.019	-0.013	0.004	0.007	0.007	-0.008	0.016	-0.008	0.018
YPL068C	0.014	-0.003	0.046	0.100	0.096	0.105	0.108	0.082	-0.000	-0.008	-0.018	-0.027	-0.011	-0.009	-0.007	-0.022
YPL069C	0.027	0.028	0.018	0.020	-0.009	0.027	0.058	-0.092	0.014	-0.009	-0.030	-0.076	0.003	0.020	0.013	-0.089
YPL070W	0.000	-0.003	0.005	0.011	0.003	0.000	0.001	0.008	0.003	0.004	-0.010	-0.032	0.000	-0.005	0.009	-0.033
YPL071C	0.003	0.005	0.010	0.022	0.013	0.012	0.012	0.025	-0.002	-0.000	0.008	0.010	-0.005	-0.008	-0.006	0.005
YPL072W	0.010	-0.001	-0.003	-0.019	-0.001	0.009	0.009	-0.009	0.004	-0.011	-0.023	-0.047	-0.001	-0.008	-0.005	-0.040
YPL073C	0.000	0.017	0.011	0.032	0.015	0.020	0.013	0.026	-0.027	0.016	0.019	0.028	-0.008	0.007	0.012	0.058
YPL074W	0.004	0.007	0.012	0.027	0.008	0.007	0.004	0.020	-0.015	-0.001	0.006	0.030	-0.009	-0.016	-0.002	0.014
YPL075W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.011	-0.003	0.013	0.060	0.016	0.028	0.007	0.065
YPL076W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.005	-0.044	-0.005	0.020	-0.002	-0.015	-0.039	0.015
YPL077C	-0.007	-0.010	-0.002	-0.016	-0.009	-0.000	0.000	-0.005	0.003	0.000	-0.013	-0.010	0.001	0.011	0.000	-0.033
YPL078C	-0.019	-0.045	-0.062	-0.326	-0.308	-0.437	-0.496	-0.296	-0.012	-0.004	-0.013	-0.028	-0.028	-0.015	-0.041	-0.016
YPL079W	-0.008	0.004	-0.046	0.040	0.037	0.033	0.027	0.062	-0.000	-0.010	-0.021	-0.029	0.028	0.009	0.019	-0.035
YPL080C	-0.004	-0.007	-0.012	0.089	0.080	0.066	0.062	0.104	0.020	-0.014	-0.024	-0.013	0.013	0.024	0.020	-0.025
YPL081W	0.006	-0.007	0.018	0.006	0.018	0.005	0.013	0.006	-0.027	-0.011	-0.000	0.056	-0.011	0.011	-0.022	0.053
YPL082C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.024	0.059	NaN	NaN	-0.002	0.068	0.037	NaN
YPL083C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.018	-0.038	0.001	-0.000	-0.004	0.002	-0.022	-0.016
YPL084W	0.013	-0.025	-0.049	-0.237	-0.187	-0.269	-0.224	-0.061	-0.008	-0.002	-0.010	-0.000	-0.009	-0.009	-0.006	0.002
YPL085W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.008	-0.026	0.024	0.076	0.014	0.038	-0.003	0.076
YPL086C	0.032	0.015	0.012	-0.001	-0.009	-0.004	0.004	0.022	0.018	0.014	-0.029	0.008	0.006	0.029	0.011	0.020
YPL087W	0.021	0.025	0.020	0.018	0.018	0.031	0.036	0.022	-0.027	-0.003	-0.020	0.002	-0.011	-0.026	-0.018	0.010
YPL088W	0.009	0.001	0.022	0.027	0.019	0.012	0.017	0.024	-0.001	-0.032	0.039	0.024	0.011	0.006	-0.026	0.008
YPL089C	0.004	0.005	0.015	0.072	0.057	0.056	0.067	0.048	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YPL090C	-0.076	-0.096	0.051	0.161	0.153	0.115	0.094	0.170	-0.017	-0.021	0.056	0.129	0.064	0.072	0.014	0.121
YPL091W	-0.008	0.001	0.007	-0.004	-0.007	0.012	0.016	-0.000	-0.010	-0.011	-0.011	-0.035	-0.007	-0.024	-0.006	-0.029
YPL092W	-0.008	0.003	0.013	0.021	0.017	0.005	0.014	0.016	-0.035	-0.016	0.039	0.082	0.004	0.011	-0.017	0.077
YPL093W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.002	-0.011	0.040	0.081	0.042	0.045	0.032	0.077
YPL094C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.006	0.004	0.020	0.012	0.005	0.003	0.017	0.005
YPL095C	0.006	0.001	-0.000	-0.016	0.005	0.008	0.015	-0.009	0.018	0.005	0.001	-0.018	0.014	0.013	0.008	-0.029
YPL096W	-0.009	-0.016	0.011	0.005	0.015	-0.005	0.012	0.006	0.008	0.005	0.011	0.019	0.012	0.028	-0.003	0.016
YPL097W	0.019	-0.036	-0.052	-0.260	-0.190	-0.258	-0.311	-0.196	0.005	0.005	0.020	0.020	0.014	0.009	0.021	0.020
YPL098C	0.002	-0.025	0.017	-0.096	-0.070	-0.110	-0.102	-0.055	0.013	-0.015	0.028	0.042	0.015	0.022	0.010	0.042
YPL099C	0.001	-0.000	0.008	-0.004	-0.000	-0.006	-0.002	0.003	0.003	-0.008	0.018	0.011	0.011	0.014	0.000	0.011
YPL100W	0.009	0.023	0.015	0.032	0.022	0.019	0.021	0.025	0.003	0.009	0.025	0.028	0.014	0.022	0.018	0.024
YPL101W	0.060	0.018	0.051	0.026	0.017	0.038	0.033	0.058	-0.016	-0.009	0.028	0.045	0.002	0.003	-0.005	0.044
YPL102C	-0.009	-0.019	0.005	0.036	0.008	0.016	-0.001	0.042	-0.002	0.016	0.027	0.046	0.010	0.005	0.022	0.038
YPL103C	0.007	0.014	0.021	0.029	0.022	0.013	0.023	0.020	-0.010	-0.006	0.025	0.037	0.007	0.016	0.005	0.024
YPL104W	0.014	-0.073	-0.114	-0.343	-0.287	-0.384	-0.459	-0.310	-0.036	-0.005	0.047	0.085	-0.000	-0.015	-0.023	0.076
YPL105C	0.015	0.026	0.013	0.024	0.017	0.016	0.019	0.020	0.007	0.007	0.012	0.009	0.009	0.013	0.018	0.004
YPL106C	0.019	-0.020	0.070	0.157	0.244	0.140	0.140	0.196	-0.008	-0.021	0.034	0.048	0.018	0.011	0.006	0.062
YPL107W	-0.011	0.004	0.026	0.057	0.031	-0.000	0.008	0.048	-0.023	-0.005	0.050	0.098	0.015	0.005	-0.005	0.098
YPL108W	-0.013	-0.025	0.010	0.011	0.013	-0.003	0.005	0.011	-0.004	-0.007	0.030	0.047	0.004	0.004	-0.009	0.042
YPL109C	0.005	-0.007	0.005	-0.026	-0.020	-0.015	-0.018	-0.002	0.008	0.008	0.018	-0.007	0.019	0.020	0.026	0.003
YPL110C	0.006	0.002	0.007	-0.002	0.017	0.007	0.013	-0.001	0.014	0.005	0.013	-0.012	0.014	0.014	0.016	-0.015
YPL111W	-0.004	-0.016	0.008	-0.033	-0.011	-0.013	-0.000	-0.045	0.016	0.000	0.015	0.002	0.007	0.013	0.000	-0.001
YPL112C	0.005	0.003	0.011	0.011	0.017	0.007	0.007	0.013	0.011	-0.014	0.011	-0.000	0.005	0.001	0.005	-0.001
YPL113C	0.004	0.002	0.012	0.012	0.015	0.010	0.015	0.009	0.020	-0.002	0.007	0.019	0.025	0.023	0.015	-0.016
YPL114W	0.013	0.016	0.018	0.020	0.025	0.015	0.020	0.015	-0.016	-0.008	0.033	0.063	0.012	0.012	-0.006	0.053
YPL115C	0.020	0.005	-0.003	-0.019	0.013	0.016	0.016	0.002	0.019	-0.001	0.011	-0.021	0.015	0.009	0.006	-0.018
YPL116W	0.013	0.025	0.013	0.021	0.024	0.015	0.015	0.019	-0.017	0.002	0.034	0.050	0.012	0.005	0.005	0.037
YPL117C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.024	0.002	0.000	0.026	0.008	0.007	0.013	0.006
YPL118W	0.015	-0.012	-0.091	-0.243	-0.229	-0.297	-0.279	-0.180	-0.008	0.011	0.028	0.035	0.009	-0.001	0.015	0.030
YPL119C	0.004	0.017	0.023	0.040	0.031	0.012	0.014	0.035	-0.011	0.020	0.036	0.060	0.016	0.032	0.007	0.058
YPL120W	0.010	0.008	0.008	0.015	0.016	0.013	0.013	0.021	0.008	-0.008	0.010	-0.004	0.011	0.011	0.006	-0.010
YPL121C	0.005	0.015	0.014	0.024	0.022	0.016	0.019	0.018	-0.001	-0.008	0.022	0.024	0.015	0.023	0.009	0.023
YPL122C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.001	0.014	0.003	0.070	0.011	0.042	-0.014	0.056
YPL123C	-0.000	0.015	0.026	0.040	0.031	0.009	0.013	0.034	-0.016	0.006	0.020	0.037	0.005	0.004	0.003	0.045
YPL124W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.000	0.004	-0.001	-0.026	0.009	-0.005	0.022	-0.022
YPL125W	-0.001	-0.056	0.053	0.208	0.161	0.136	0.154	0.168	-0.009	-0.023	0.030	0.066	0.009	0.006	0.001	0.043
YPL126W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.015	-0.007	0.034	0.016	0.023	0.022	0.013	0.029
YPL127C	0.001	0.005	0.029	0.043	0.027	0.003	0.012	0.034	-0.013	-0.034	0.032	0.068	0.003	0.003	-0.032	0.071
YPL128C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.005	0.005	0.014	0.002	0.013	0.011	0.018	0.001
YPL129W	-0.031	-0.050	0.061	-0.080	0.044	0.021	-0.050	-0.072	-0.026	-0.016	0.019	0.104	0.035	0.039	0.021	0.066
YPL130W	0.011	0.015	0.005	-0.008	0.012	0.004	0.007	-0.009	0.008	-0.009	0.015	-0.028	0.007	0.003	-0.003	-0.025
YPL131W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.010	-0.003	0.048	0.145	0.158	0.152	0.130	0.176
YPL132W	-0.019	-0.041	-0.056	-0.397	-0.363	-0.473	-0.530	-0.370	-0.014	-0.036	0.036	0.047	0.057	0.063	0.017	0.084
YPL133C	0.009	0.015	0.028	0.043	0.013	0.010	0.014	0.034	-0.022	-0.011	0.044	0.048	0.007	0.003	-0.008	0.070
YPL134C	0.001	-0.016	-0.006	-0.019	-0.003	-0.009	0.009	-0.005	0.024	-0.008	0.007	0.040	0.016	0.015	-0.003	0.034
YPL135W	0.009	0.012	0.024	0.020	0.018	0.010	0.018	-0.012	-0.030	-0.009	0.035	0.059	0.003	0.006	-0.012	0.060
YPL136W	0.001	-0.008	0.024	0.048	0.038	0.020	0.022	0.043	-0.027	-0.023	0.040	0.055	0.007	-0.015	-0.011	0.071
YPL137C	-0.013	-0.030	-0.004	-0.009	0.000	-0.009	-0.017	-0.013	0.019	-0.007	-0.032	-0.054	-0.010	-0.017	-0.010	-0.064
YPL138C	0.007	-0.002	0.003	0.002	0.012	0.009	0.012	0.008	0.002	-0.016	0.013	-0.009	0.007	-0.007	-0.005	0.002
YPL139C	-0.001	-0.011	0.001	-0.063	-0.063	-0.092	-0.091	-0.023	-0.032	-0.002	0.039	0.045	-0.016	-0.008	-0.040	0.076
YPL140C	0.019	-0.002	-0.002	-0.005	0.017	0.025	0.028	-0.003	0.004	-0.007	0.005	-0.027	0.015	0.003	0.004	-0.023
YPL141C	0.010	-0.009	-0.012	-0.026	-0.005	0.003	0.007	-0.023	0.015	-0.009	0.003	-0.051	0.012	0.012	0.004	-0.045
YPL142C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.024	-0.066	0.073	0.246	0.125	0.121	0.046	0.223
YPL143W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.018	-0.053	0.050	0.098	0.125	0.102	0.072	0.128
YPL144W	0.020	0.001	0.004	0.009	0.021	0.018	0.020	-0.001	0.004	0.007	0.014	0.005	0.011	0.007	0.017	0.003
YPL145C	0.007	-0.002	0.024	0.046	0.027	0.011	0.022	0.029	-0.009	-0.009	0.032	0.059	0.008	0.004	-0.012	0.058
YPL146C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.006	-0.025	-0.002	0.054	0.021	0.007	0.004	0.060
YPL147W	-0.009	0.006	0.030	0.050	0.032	0.011	0.018	0.033	-0.003	0.036	0.028	0.065	0.022	0.052	0.009	0.027
YPL148C	0.029	-0.094	0.004	-0.111	-0.119	-0.188	-0.257	-0.132	-0.004	0.000	-0.001	0.049	0.001	-0.005	-0.012	0.054
YPL149W	0.013	0.009	0.008	-0.000	0.010	0.003	0.012	-0.005	0.001	-0.010	-0.003	-0.036	0.008	-0.013	0.002	-0.041
YPL150W	0.017	0.011	0.014	0.005	0.017	0.015	0.014	0.007	-0.005	-0.006	0.018	-0.008	0.007	-0.004	0.006	-0.006
YPL151C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.017	-0.009	0.028	0.023	0.001	-0.004	0.005	0.017
YPL152W	0.012	0.007	0.049	0.038	0.036	0.022	0.029	0.034	-0.029	-0.017	0.044	0.057	0.004	0.004	-0.012	0.059
YPL153C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.007	-0.016	0.028	0.009	0.007	-0.002	-0.006	0.002
YPL154C	0.003	0.013	0.035	0.053	0.040	0.017	0.024	0.038	-0.021	-0.002	0.041	0.034	0.005	-0.004	-0.006	0.059
YPL155C	0.017	0.021	0.032	0.042	0.039	0.026	0.031	0.038	-0.014	-0.008	0.023	0.030	-0.001	-0.002	-0.008	0.029
YPL156C	0.013	0.002	0.003	0.001	0.011	0.021	0.021	0.000	0.004	-0.004	0.010	0.005	0.020	0.013	0.001	0.005
YPL157W	-0.109	-0.067	0.057	0.141	0.120	0.087	0.106	0.125	-0.001	-0.040	0.030	0.132	0.057	0.053	0.014	0.101
YPL158C	-0.011	-0.017	-0.019	-0.152	-0.036	-0.050	-0.064	0.021	-0.019	-0.014	-0.006	0.063	0.007	-0.002	-0.014	0.063
YPL159C	0.014	-0.005	-0.010	-0.027	-0.008	-0.033	-0.022	-0.014	0.018	-0.002	-0.000	-0.011	0.000	-0.005	-0.019	-0.015
YPL160W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.012	0.007	0.016	0.065	0.017	0.055	0.007	0.075
YPL161C	0.013	-0.020	0.004	0.002	0.033	-0.009	0.024	0.115	-0.015	-0.017	0.025	0.030	0.010	0.013	0.003	0.026
YPL162C	0.026	-0.003	0.018	0.024	0.020	0.009	0.034	0.017	0.007	0.015	0.005	-0.012	0.017	0.016	0.033	-0.031
YPL163C	0.013	0.011	0.022	0.043	0.019	0.014	0.020	0.036	0.014	-0.003	0.022	0.134	0.058	0.070	0.021	0.060
YPL164C	0.007	0.004	0.021	0.035	0.021	0.016	0.020	0.031	0.003	-0.009	0.028	0.056	0.018	0.027	0.001	0.048
YPL165C	-0.002	0.001	0.046	0.063	0.043	0.013	0.019	0.050	-0.029	-0.024	0.049	0.098	0.004	0.006	-0.028	0.085
YPL166W	0.018	0.017	0.019	0.019	0.027	0.021	0.021	0.012	0.005	-0.016	0.016	-0.007	0.011	0.006	0.006	-0.021
YPL167C	0.005	0.007	0.043	0.053	0.041	0.018	0.023	0.039	-0.020	-0.026	0.058	0.081	0.015	0.010	-0.022	0.076
YPL168W	0.007	-0.006	0.017	0.021	0.023	0.007	0.010	0.022	0.008	-0.014	0.013	0.028	0.006	0.011	0.004	0.019
YPL169C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.021	-0.011	0.026	0.093	0.096	0.102	0.081	0.079
YPL170W	0.004	-0.010	0.013	0.018	0.020	0.012	0.017	0.015	0.000	-0.015	0.032	0.034	0.021	0.010	0.008	0.020
YPL171C	0.005	0.004	0.023	0.034	0.029	0.013	0.015	0.029	-0.009	-0.022	0.028	0.040	0.009	0.011	-0.007	0.025
YPL172C	0.033	0.020	-0.027	-0.430	-0.376	-0.488	-0.500	-0.363	-0.005	-0.010	0.031	0.032	0.007	0.001	-0.001	0.017
YPL173W	-0.042	-0.122	-0.044	-0.204	-0.165	-0.372	-0.281	-0.164	-0.006	-0.023	0.021	0.013	-0.044	-0.059	-0.088	0.004
YPL174C	0.011	-0.015	-0.045	-0.369	-0.288	-0.415	-0.470	-0.280	-0.011	-0.007	0.029	0.034	-0.006	-0.019	-0.013	0.019
YPL175W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.005	-0.008	0.023	0.033	0.013	0.021	0.005	0.026
YPL176C	0.004	-0.002	0.028	0.043	0.041	0.019	0.018	0.032	-0.018	-0.022	0.031	0.041	0.005	0.001	-0.010	0.045
YPL177C	0.010	0.008	0.020	0.033	0.027	0.009	0.007	0.031	-0.019	-0.010	0.034	0.073	-0.010	-0.010	0.004	0.045
YPL178W	0.030	0.005	0.080	0.158	0.140	0.186	0.198	0.153	0.033	0.011	-0.010	-0.029	0.018	0.023	0.027	-0.030
YPL179W	0.004	0.014	0.024	0.040	0.008	-0.004	0.008	0.035	-0.031	-0.006	0.044	0.072	0.005	0.013	-0.004	0.067
YPL180W	0.000	0.003	-0.080	-0.044	0.080	-0.005	0.004	0.039	-0.015	-0.010	0.034	0.071	0.002	0.001	-0.012	0.049
YPL181W	0.004	-0.005	0.019	-0.016	-0.008	-0.038	-0.026	-0.001	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YPL182C	0.012	-0.012	-0.005	-0.063	-0.038	-0.049	-0.043	-0.037	0.008	-0.013	0.001	-0.040	-0.006	-0.011	-0.011	-0.044
YPL183C	-0.015	-0.013	-0.017	-0.041	-0.061	-0.083	-0.092	-0.080	-0.007	-0.009	-0.010	0.009	0.008	-0.009	-0.004	0.017
YPL183W-A	-0.031	-0.065	-0.053	-0.297	-0.264	-0.388	-0.396	-0.241	0.007	-0.004	-0.033	-0.019	-0.023	-0.017	-0.012	-0.008
